setup,punchline
"I made a pun about the wind...","it blows."
"I used to hate facial hair,","but then it grew on me."
"I want to be cremated...","it is my last hope for a smoking hot body."
"I want to make a brief joke,","but it’s a little cheesy."
"I wanted to buy a pair of camouflage pants,","but I couldn't find any."
"I wanted to take pictures of the fog this morning but I mist my chance.","I guess I could dew it tomorrow!"
"I was wondering why the ball was getting bigger.","Then it hit me."
"I wasn’t originally going to get a brain transplant...","then I changed my mind."
"I'm reading a book about anti-gravity.","It's impossible to put down!"
"I'm reading a book on anti-gravity.","It's impossible to put down!"
"I've started sleeping in our fireplace.","Now I sleep like a log!"
"It takes guts to be an organ donor.",""
"It's hard to explain puns to kleptomaniacs...","they always take things literally."
"I’ve been thinking about taking up meditation.","I figure it’s better than sitting around doing nothing."
"Ladies, if he can’t appreciate your fruit jokes,", "You need to let that mango."
"Long fairy tales have...","a tendency to dragon"
"My boss told me to have a good day,","so I went home."
"My dad unfortunately passed away when we couldn't remember his blood type.","His last words to us were, 'Be positive!'"
"My ex-wife still misses me.","But her aim is starting to improve!"
"My friend drove his expensive car into a tree.","He found out his Mercedes bends."
"My friend’s bakery burned down last night.","Now his business is toast."
"My girlfriend keeps accusing me of cheating.","She's starting to sound like my wife."
"My grandpa has the heart of the lion...","and a lifetime ban from the zoo."
"My parents said I can't drink coffee anymore.","Or else they'll ground me!"
"My sister bet that I couldn’t build a car out of spaghetti.","You should’ve seen her face when I drove pasta."
"My wife asked me to go get 6 cans of Sprite from the grocery store.","I realized when I got home that I had picked 7 up."
"My wife asked me to stop singing “Wonderwall” to her.","I said 'Maybe...'"
"My wife refuses to go to a nude beach with me.","I think she's just being clothes-minded!"
"My wife tried to apply at the post office but they wouldn’t letter.","They said only mails work here."
"Need an ark to save two of every animal?","I noah guy."
"Never discuss infinity with a mathematician, they can go on about it forever."
"Never trust an atom...","they make up everything."
"One lung said to another...","'we be-lung together'"
"Our vacuum cleaner is getting old.","It's just gathering dust."
"She had a photographic memory, but never developed it."
"Singing in the shower is fun until you get soap in your mouth.","Then it becomes a soap opera."
"Smaller babies may be delivered by stork.","The heavier ones need a crane."
"So what if I don’t know what apocalypse means?","It’s not the end of the world!"
"Some aquatic mammals at the zoo escaped.","It was otter chaos!"
"Somebody stole all my lamps.","I couldn’t be more de-lighted!"
"Sundays are always a little sad,","but the day before is a sadder day."
"Sure, I drink brake fluid.","But I can stop anytime!"
"That baseball player was such a bad sport.","He stole third base and then just went home!"
"The guy who invented the door knocker got a no-bell prize.",
"The machine at the coin factory just suddenly stopped working, with no explanation.","It doesn’t make any cents."
"The past, the present, and the future walk into a bar.","It was tense!"
"The quickest way to make antifreeze?","Just steal her blanket!"
"There was a kidnapping at school yesterday. Don’t worry, though - he woke up!"
"Time flies like an arrow.","Fruit flies like a banana."
"To the guy who invented zero, thanks for nothing."
"Towels can’t tell jokes.","They have a dry sense of humor."
"Two guys walked into a bar.","The third guy ducked."
"Two windmills are standing in a wind farm. One asks, 'What’s your favorite kind of music?'","The other says, 'I’m a big metal fan.'"
"Waking up this morning was an eye-opening experience.",
"Want to know why nurses like red crayons?","Sometimes they have to draw blood."
"What did Tennessee?","The same thing as Arkansas."
"What did one hat say to the other?","You stay here, I’ll go on ahead."
"What did one plate say to the other plate?","Dinner's on me."
"What did one wall say to the other wall?","I'll meet you at the corner."
"What did syrup say to the waffle?","I love you a waffle lot!"
"What did the buffalo say to his son when he left for college?","Bison."
"What did the buffalo say to his son?","Bison."
"What did the duck say when she purchased new lipstick?","Put it on my bill!"
"What did the flowers do when the bride walked down the aisle?","They rose."
"What did the grape do when he got stepped on?","He let out a little wine."
"What did the grape say when it got crushed?","Nothing, it just let out a little wine."
"What did the hamburger name its baby?","Patty!"
"What did the janitor say when he jumped out of the closet?","Supplies!"
"What did the ocean say to the shore?","Nothing, it just waved."
"What did the police officer say to his belly-button?","You’re under a vest."
"What did the ranch say when somebody opened the refrigerator?","'Hey, close the door! I'm dressing!'"
"What did the sushi say to the bee?","Wasabee!"
"What do you call 26 letters that went for a swim?","Alphawetical."
"What do you call a bear with no teeth?","A gummy bear."
"What do you call a belt with a watch on it?","A waist of time."
"What do you call a boomerang that doesn't come back?","A stick."
"What do you call a cow with no legs?","Ground beef."
"What do you call a dinosaur with an extensive vocabulary?","A thesaurus."
"What do you call a dog magician?","A labracadabrador."
"What do you call a fake noodle?","An impasta."
"What do you call a fish with no eyes?","Fsh."
"What do you call a girl with one leg that's shorter than the other?","Ilene."
"What do you call a laughing motorcycle?","A Yamahahaha."
"What do you call a man who can't stand?","Neil."
"What do you call a man with a rubber toe?","Roberto."
"What do you call a man with no arms and no legs stuffed in your mailbox?","Bill."
"What do you call a naughty lamb dressed up like a skeleton for Halloween?","Baaad to the bone."
"What do you call a parade of rabbits hopping backwards?","A receding hare-line."
"What do you call a pile of kittens?","A meowtain."
"What do you call a pudgy psychic?","A four-chin teller."
"What do you call a sleeping bull?","A bulldozer."
"What do you call a snowman with a six pack?","An abdominal snowman."
"What do you call an alligator in a vest?","An investigator."
"What do you call an angry musician flipping someone off?","A song bird."
"What do you call an elephant that doesn’t matter?","An irrelephant."
"What do you call cheese that isn't yours?","Nacho cheese."
"What do you call fake spaghetti?","An impasta."
"What do you call it when a group of apes starts a company?","Monkey business."
"What do you call the ghost of a chicken?","A poultry-geist."
"What do you call the wife of a hippie?","A Mississippi."
"What do you get from a pampered cow?","Spoiled milk."
"What do you get if you cross a cat with a dark horse?","Kitty Perry."
"What do you get when you cross a dog and a calculator?","A friend you can count on."
"What do you get when you cross a fridge with a radio?","Cool music."
"What do you get when you cross a snowman and a vampire?","Frostbite."
"What do you get when you cross an elephant and a rhino?","Elephino (hell if I know)."
"What do you get when you mix alcohol and literature?","Tequila mockingbird."
"What do you use to cut a Roman Emperor's hair?","Ceasers."
"What does 'Rockin' Robin' do when she's bored?","Tweet."
"What does a clock do when it's hungry?","It goes back for seconds."
"What does a lemon say when it answers the phone?","Yellow!"
"What has ears but cannot hear?","A cornfield."
"What kind of drink can be bitter and sweet?","Reali-tea."
"What kind of music do chiropractors like?","Hip pop."
"What kind of noise does a witch’s vehicle make?","Brrrroooom, brrroooom."
"What kind of shoes do ninjas wear?","Sneakers."
"What kind of shoes does a lazy person wear?","Loafers."
"What should a lawyer always wear to a court?","A good lawsuit!"
"What was Forrest Gump’s email password?","1forrest1"
"What washes up on tiny beaches?","Microwaves."
"What would the Terminator be called in his retirement?","The Exterminator."
"What's a crafty dancer's favorite hobby?","Cutting a rug."
"What's orange and sounds like a parrot?","A carrot."
"What's the difference between a hippo and a zippo?","One is really heavy and the other is a little lighter!"
"What’s America's favorite soda?","Mini soda."
"What’s brown and sticky?","A stick."
"What’s the difference between a poorly dressed man on a bicycle and a nicely dressed man on a tricycle?","A tire."
"What’s the most detail-oriented ocean?","The Pacific."
"What’s the name of a very polite, European body of water?","Merci."
"When does a joke become a 'dad joke?'","When it becomes apparent."
"Where do you learn to make ice cream?","At sundae school."
"Which bear is the most condescending?","A pan-duh!"
"Which state has the most streets?","Rhode Island."
"Who is the penguin's favorite Aunt?","Aunt-Arctica!"
"Why are elevator jokes so classic and good?","They work on many levels."
"Why are frogs so happy?","They eat whatever bugs them."
"Why are ghosts terrible liars?","Because you can see right through them."
"Why can't you give Elsa a balloon?","Because she will let it go."
"Why can't you hear a pterodactyl using the bathroom?","Because the 'P' is silent."
"Why can't your nose be 12 inches long?","Because then it would be a foot."
"Why couldn't the leopard play hide and seek?","Because he was always spotted."
"Why did Waldo go to therapy?","Because he needed to find himself."
"Why did the banana go to the doctor?","Because it wasn't peeling well."
"Why did the bedding hide their relationship?","They just wanted something pillow-key!"
"Why did the belt get arrested?","For holding up a pair of pants."
"Why did the bicycle fall over?","Because it was too tired."
"Why did the chicken join a band?","Because it already had drumsticks."
"Why did the coach go to the bank?","To get his quarterback."
"Why did the coffee file a police report?","It got mugged."
"Why did the computer go to the doctor?","It had a virus."
"Why did the cookie go to the doctor?","Because he felt crummy."
"Why did the golfer bring two pairs of pants?","In case he got a hole in one."
"Why did the lobster blush?","Because it saw the ocean's bottom!"
"Why did the man fall down the well?","Because he couldn’t see that well."
"Why did the man run around his bed?","To catch up on his sleep."
"Why did the math book look sad?","Because it had too many problems."
"Why did the mushroom go to the party?","Because he was a fungi!"
"Why did the pharmacist walk on her tiptoes?","She didn't want to wake the sleeping pills."
"Why did the picture go to jail?","Because it was framed."
"Why did the scarecrow become a successful neurosurgeon?","He was outstanding in his field of study."
"Why did the scarecrow win an award?","Because he was outstanding in his field."
"Why did the tomato turn red?","Because it saw the salad dressing."
"Why didn't the cat go to the vet?","He was feline fine!"
"Why do bees have sticky hair?","Because they use a honeycomb."
"Why do bees have sticky hair?","Because they use honeycombs."
"Why do cows have hooves instead of feet?","Because they lactose."
"Why do seagulls fly over the ocean?","Because if they flew over the bay, they'd be bagels."
"Why do some couples go to the gym?","Because they want their relationship to work out."
"Why don't eggs tell jokes?","Because they might crack up."
"Why don't oysters share their pearls?","Because they are shellfish."
"Why don't scientists trust atoms?","Because they make up everything."
"Why don't skeletons fight each other?","They don't have the guts."
"Why don't skeletons go trick or treating?","Because they have no body to go with."
"Why don't some couples go to the gym?","Because some relationships don't work out."
"Why is Peter Pan always flying?","Because he Neverlands."
"Why is cold water so insecure?","Because it’s never called hot."
"Why should you never trust a train?","They have loco motives."
"Why the Middle Ages were called the Dark Ages?","There were too many knights."
"Why was Dumbo sad?","He felt irrelephant."
"Why was the baby ant confused?","Because all his uncles were ants!"
"Why was the color green notoriously single?","It was always so jaded."
"Why was the computer cold?","It left its Windows open."
"Why was the cookie sad?","Because his mom was a wafer long!"
"Why was the math book sad?","Because it had too many problems."
"Why were the utensils stuck together?","They were spooning."
"Yesterday, I accidentally swallowed some food coloring.","The doctor says I’m okay, but I feel like I’ve dyed a little inside."
"You’re American when you go into a bathroom and when you come out, but what are you while you’re in the bathroom?","European."
